"","Date","WL","Cond","NO3","NH4","Flow","NO3E","NH4E","water","NO3C","NH4C","waterin","waterin2","watercm2"
"16648",2017-01-03 12:00:00,1.566,"OFF",0.03,0.614631732,0,0,0,0,0,0,0,0,0
"16649",2017-01-03 12:15:00,1.565,"OFF",0.03,0.6028123415,0,0,0,0,0,0,0,0,0
"16650",2017-01-03 12:30:00,1.567,"OFF",0.03,0.590992951,0,0,0,0,0,0,0,0,0
"16651",2017-01-03 12:45:00,1.565,"OFF",0.03,0.5926280415,0,0,0,0,0,0,0,0,0
"16652",2017-01-03 13:00:00,1.569,"OFF",0.03,0.594263132,0,0,0,0,0,0,0,0,0
"16653",2017-01-03 13:15:00,1.567,"OFF",0.03,0.5085100785,0,0,0,0,0,0,0,0,0
"16654",2017-01-03 13:30:00,1.569,"OFF",0.03,0.422757025,0,0,0,0,0,0,0,0,0
"16655",2017-01-03 13:45:00,1.567,"OFF",0.03,0.4627278995,0,0,0,0,0,0,0,0,0
"16656",2017-01-03 14:00:00,1.566,"OFF",0.03,0.502698774,0,0,0,0,0,0,0,0,0
"16657",2017-01-03 14:15:00,1.565,"OFF",0.03,0.503534187,0,0,0,0,0,0,0,0,0
"16658",2017-01-03 14:30:00,1.569,"OFF",0.03,0.5043696,0,0,0,0,0,0,0,0,0
